BookTitle,ISBN,authors,Summary,ISBN13,Rating,RatingCount
a game of thrones,553588486,george r.r. martin,"here is the first volume in george r. r. martin’s magnificent cycle of novels that includes a clash of kings and a storm of swords. as a whole, this series comprises a genuine masterpiece of modern fantasy, bringing together the best the genre has to offer. magic, mystery, intrigue, romance, and adventure fill these pages and transport us to a world unlike any we have ever experienced. already hailed as a classic, george r. r. martin’s stunning series is destined to stand as one of the great achievements of imaginative fiction.a game of throneslong ago, in a time forgotten, a preternatural event threw the seasons out of balance. in a land where summers can last decades and winters a lifetime, trouble is brewing. the cold is returning, and in the frozen wastes to the north of winterfell, sinister and supernatural forces are massing beyond the kingdom’s protective wall. at the center of the conflict lie the starks of winterfell, a family as harsh and unyielding as the land they were born to. sweeping from a land of brutal cold to a distant summertime kingdom of epicurean plenty, here is a tale of lords and ladies, soldiers and sorcerers, assassins and bastards, who come together in a time of grim omens.here an enigmatic band of warriors bear swords of no human metal; a tribe of fierce wildlings carry men off into madness; a cruel young dragon prince barters his sister to win back his throne; and a determined woman undertakes the most treacherous of journeys. amid plots and counterplots, tragedy and betrayal, victory and terror, the fate of the starks, their allies, and their enemies hangs perilously in the balance, as each endeavors to win that deadliest of conflicts: the game of thrones.source: georgerrmartin.com",9780553588480.0,4.339880284324729,10692
the lightning thief,786838655,rick riordan,"alternate cover for this isbn can be found herepercy jackson is a good kid, but he can't seem to focus on his schoolwork or control his temper. and lately, being away at boarding school is only getting worse - percy could have sworn his pre-algebra teacher turned into a monster and tried to kill him. when percy's mom finds out, she knows it's time that he knew the truth about where he came from, and that he go to the one place he'll be safe. she sends percy to camp half blood, a summer camp for demigods (on long island), where he learns that the father he never knew is poseidon, god of the sea. soon a mystery unfolds and together with his friends—one a satyr and the other the demigod daughter of athena - percy sets out on a quest across the united states to reach the gates of the underworld (located in a recording studio in hollywood) and prevent a catastrophic war between the gods.",9780786838650.0,3.9923744412306075,7606
the notebook,553816713,nicholas sparks,"a man with a faded, well-worn notebook open in his lap. a woman experiencing a morning ritual she doesn't understand. until he begins to read to her. an achingly tender story about the enduring power of love.a man with a faded, well-worn notebook open in his lap. a woman experiencing a morning ritual she doesn't understand. until he begins to read to her. the notebook is an achingly tender story about the enduring power of love, a story of miracles that will stay with you forever. set amid the austere beauty of coastal north carolina in 1946, the notebook begins with the story of noah calhoun, a rural southerner returned home from world war ii. noah, thirty-one, is restoring a plantation home to its former glory, and he is haunted by images of the beautiful girl he met fourteen years earlier, a girl he loved like no other. unable to find her, yet unwilling to forget the summer they spent together, noah is content to live with only memories...until she unexpectedly returns to his town to see him once again. allie nelson, twenty-nine, is now engaged to another man, but realizes that the original passion she felt for noah has not dimmed with the passage of time. still, the obstacles that once ended their previous relationship remain, and the gulf between their worlds is too vast to ignore. with her impending marriage only weeks away, allie is forced to confront her hopes and dreams for the future, a future that only she can shape. like a puzzle within a puzzle, the story of noah and allie is just the beginning. as it unfolds, their tale miraculously becomes something different, with much higher stakes. the result is a deeply moving portrait of love itself, the tender moments and the fundamental changes that affect us all. shining with a beauty that is rarely found in current literature, the notebook establishes nicholas sparks as a classic storyteller with a unique insight into the only emotion that really matters. ""i am nothing special, of this i am sure. i am a common man with common thoughts and i've led a common life. there are no monuments dedicated to me and my name will soon be forgotten, but i've loved another with all my heart and soul, and to me, this has always been enough."" and so begins one of the most poignant and compelling love stories you will ever read...the notebook",9780553816720.0,3.7269614411195473,6717
fahrenheit 451,307347974,ray bradbury,"fahrenheit 451 ofrece la historia de un sombrío y horroroso futuro. montag, el protagonista, pertenece a una extraña brigada de bomberos cuya misión, paradójicamente, no es la de sofocar incendios sino la de provocarlos, para quemar libros. porque en el país de montag está terminantemente prohibido leer. porque leer obliga a pensar, y en el país de montag esta prohibido pensar. porque leer impide ser ingenuamente feliz, y en el país de montag hay que ser feliz a la fuerza...",9780307347980.0,3.9314391000775797,10312
city of bones,1416914285,cassandra clare,"when fifteen-year-old clary fray heads out to the pandemonium club in new york city, she hardly expects to witness a murder― much less a murder committed by three teenagers covered with strange tattoos and brandishing bizarre weapons. then the body disappears into thin air. it's hard to call the police when the murderers are invisible to everyone else and when there is nothing―not even a smear of blood―to show that a boy has died. or was he a boy?this is clary's first meeting with the shadowhunters, warriors dedicated to ridding the earth of demons. it's also her first encounter with jace, a shadowhunter who looks a little like an angel and acts a lot like a jerk. within twenty-four hours clary is pulled into jace's world with a vengeance when her mother disappears and clary herself is attacked by a demon. but why would demons be interested in ordinary mundanes like clary and her mother? and how did clary suddenly get the sight? the shadowhunters would like to know...",9781416914280.0,3.8553142528405004,13906
eclipse,316160202,stephenie meyer,"as seattle is ravaged by a string of mysterious killings and a malicious vampire continues her quest for revenge, bella once again finds herself surrounded by danger. in the midst of it all, she is forced to choose between her love for edward and her friendship with jacob - knowing that her decision has the potential to ignite the ageless struggle between vampire and werewolf. with her graduation quickly approaching, bella has one more decision to make: life or death. but which is which?",9780316160210.0,3.3775467775467773,9620
eragon,375826696,christopher paolini,"one boy...one dragon...a world of adventure. when eragon finds a polished blue stone in the forest, he thinks it is the lucky discovery of a poor farm boy; perhaps it will buy his family meat for the winter. but when the stone brings a dragon hatchling, eragon soon realizes he has stumbled upon a legacy nearly as old as the empire itself. overnight his simple life is shattered, and he is thrust into a perilous new world of destiny, magic, and power. with only an ancient sword and tge advice of an old storyteller for guidance, eragon and the fledgling dragon must navigate the dangerous terrain and dark enemies of an empire ruled by a king whose evil knows no bounds. can eragon take up the mantle of the legendary dragon riders? the fate of the empire may rest in his hands.",9780375826700.0,3.611221590909091,7040
the hitchhiker's guide to the galaxy,345391802,douglas adams,"seconds before the earth is demolished to make way for a galactic freeway, arthur dent is plucked off the planet by his friend ford prefect, a researcher for the revised edition of the hitchhiker's guide to the galaxy who, for the last fifteen years, has been posing as an out-of-work actor.together this dynamic pair begin a journey through space aided by quotes from the hitchhiker's guide (""a towel is about the most massively useful thing an interstellar hitchhiker can have"") and a galaxy-full of fellow travelers: zaphod beeblebrox—the two-headed, three-armed ex-hippie and totally out-to-lunch president of the galaxy; trillian, zaphod's girlfriend (formally tricia mcmillan), whom arthur tried to pick up at a cocktail party once upon a time zone; marvin, a paranoid, brilliant, and chronically depressed robot; veet voojagig, a former graduate student who is obsessed with the disappearance of all the ballpoint pens he bought over the years.",9780345391800.0,4.109939759036145,9960
brave new world,60929871,aldous huxley,"brave new world is a dystopian novel written in 1931 by english author aldous huxley, and published in 1932. largely set in a futuristic world state of genetically modified citizens and an intelligence-based social hierarchy, the novel anticipates huge scientific developments in reproductive technology, sleep-learning, psychological manipulation, and classical conditioning that are combined to make a utopian society that goes challenged only by a single outsider.",9780060929880.0,3.892322097378277,9612
breaking dawn,031606792X,stephenie meyer,"to be irrevocably in love with a vampire is both fantasy and nightmare woven into a dangerously heightened reality for bella swan. pulled in one direction by her intense passion for edward cullen, and in another by her profound connection to werewolf jacob black, she has endured a tumultuous year of temptation, loss, and strife to reach the ultimate turning point. her imminent choice to either join the dark but seductive world of immortals or to pursue a fully human life has become the thread from which the fates of two tribes hangs.now that bella has made her decision, a startling chain of unprecedented events is about to unfold with potentially devastating and unfathomable, consequences. just when the frayed strands of bella's life - first discovered in twilight, then scattered and torn in new moon and eclipse - seem ready to heal and knit together, could they be destroyed... forever?",9780316067930.0,3.354924202268631,9433
charlotte's web,64410935,"e.b. white, garth williams, rosemary wells","this beloved book by e. b. white, author of stuart little and the trumpet of the swan, is a classic of children's literature that is ""just about perfect."" this high-quality paperback features vibrant illustrations colorized by rosemary wells!some pig. humble. radiant. these are the words in charlotte's web, high up in zuckerman's barn. charlotte's spiderweb tells of her feelings for a little pig named wilbur, who simply wants a friend. they also express the love of a girl named fern, who saved wilbur's life when he was born the runt of his litter.e. b. white's newbery honor book is a tender novel of friendship, love, life, and death that will continue to be enjoyed by generations to come. this edition contains newly color illustrations by garth williams, the acclaimed illustrator of e. b. white's stuart little and laura ingalls wilder's little house series, among many other books.--harpercollins.com",9780064410940.0,4.110318389947822,9391
the perks of being a wallflower,671027344,stephen chbosky,"standing on the fringes of life...offers a unique perspective. but there comes a time to seewhat it looks like from the dance floor.this haunting novel about the dilemma of passivity vs. passion marks the stunning debut of a provocative new voice in contemporary fiction: the perks of being a wallflowerthis is the story of what it's like to grow up in high school. more intimate than a diary, charlie's letters are singular and unique, hilarious and devastating. we may not know where he lives. we may not know to whom he is writing. all we know is the world he shares. caught between trying to live his life and trying to run from it puts him on a strange course through uncharted territory. the world of first dates and mixed tapes, family dramas and new friends. the world of sex, drugs, and the rocky horror picture show, when all one requires is that the perfect song on that perfect drive to feel infinite.through charlie, stephen chbosky has created a deeply affecting coming-of-age story, a powerful novel that will spirit you back to those wild and poignant roller coaster days known as growing up.(back cover)",9780671027350.0,3.9801335559265443,5990
insurgent,7442912,veronica roth,"one choice can transform you—or it can destroy you. but every choice has consequences, and as unrest surges in the factions all around her, tris prior must continue trying to save those she loves—and herself—while grappling with haunting questions of grief and forgiveness, identity and loyalty, politics and love.tris's initiation day should have been marked by celebration and victory with her chosen faction; instead, the day ended with unspeakable horrors. war now looms as conflict between the factions and their ideologies grows. and in times of war, sides must be chosen, secrets will emerge, and choices will become even more irrevocable—and even more powerful. transformed by her own decisions but also by haunting grief and guilt, radical new discoveries, and shifting relationships, tris must fully embrace her divergence, even if she does not know what she may lose by doing so.new york times bestselling author veronica roth's much-anticipated second book of the dystopian divergent series is another intoxicating thrill ride of a story, rich with hallmark twists, heartbreaks, romance, and powerful insights about human nature.",9780007442910.0,3.858646980515551,8263
ender's game,812550706,orson scott card,"andrew ""ender"" wiggin thinks he is playing computer simulated war games; he is, in fact, engaged in something far more desperate. the result of genetic experimentation, ender may be the military genius earth desperately needs in a war against an alien enemy seeking to destroy all human life. the only way to find out is to throw ender into ever harsher training, to chip away and find the diamond inside, or destroy him utterly. ender wiggin is six years old when it begins. he will grow up fast.but ender is not the only result of the experiment. the war with the buggers has been raging for a hundred years, and the quest for the perfect general has been underway almost as long. ender's two older siblings, peter and valentine, are every bit as unusual as he is, but in very different ways. while peter was too uncontrollably violent, valentine very nearly lacks the capability for violence altogether. neither was found suitable for the military's purpose. but they are driven by their jealousy of ender, and by their inbred drive for power. peter seeks to control the political process, to become a ruler. valentine's abilities turn more toward the subtle control of the beliefs of commoner and elite alike, through powerfully convincing essays. hiding their youth and identities behind the anonymity of the computer networks, these two begin working together to shape the destiny of earth-an earth that has no future at all if their brother ender fails.source: hatrack.com",9780812550700.0,4.25822126793988,8849
the shining,450040186,stephen king,"jack torrance's new job at the overlook hotel is the perfect chance for a fresh start. as the off-season caretaker at the atmospheric old hotel, he'll have plenty of time to spend reconnecting with his family and working on his writing. but as the harsh winter weather sets in, the idyllic location feels ever more remote...and more sinister. and the only one to notice the strange and terrible forces gathering around the overlook is danny torrance, a uniquely gifted five-year-old.",9780450040180.0,4.119661856872176,6861
the host,316068047,stephenie meyer,"melanie stryder refuses to fade away. the earth has been invaded by a species that take over the minds of human hosts while leaving their bodies intact. wanderer, the invading ""soul"" who has been given melanie's body, didn't expect to find its former tenant refusing to relinquish possession of her mind.as melanie fills wanderer's thoughts with visions of jared, a human who still lives in hiding, wanderer begins to yearn for a man she's never met. reluctant allies, wanderer and melanie set off to search for the man they both love.also see: alternate cover editions for this isbn [ace]  
ace #1
 - 
ace #2
",9780316068050.0,3.6187232694440046,6313
looking for alaska,142402516,john green,"before. miles “pudge” halter is done with his safe life at home. his whole life has been one big non-event, and his obsession with famous last words has only made him crave “the great perhaps” even more (francois rabelais, poet). he heads off to the sometimes crazy and anything-but-boring world of culver creek boarding school, and his life becomes the opposite of safe. because down the hall is alaska young. the gorgeous, clever, funny, sexy, self-destructive, screwed up, and utterly fascinating alaska young. she is an event unto herself. she pulls pudge into her world, launches him into the great perhaps, and steals his heart. then. . . . after. nothing is ever the same.",9780142402510.0,3.865228534814182,4682
holes,439244196,"louis sachar, louis sachar","stanley tries to dig up the truth in this inventive and darkly humorous tale of crime and punishment—and redemption. stanley yelnats is under a curse. a curse that began with his no-good-dirty-rotten- pig-stealing-great-great-grandfather and has since followed generations of yelnats. now stanley has been unjustly sent to a boys' detention center, camp green lake, where the warden makes the boys ""build character"" by spending all day, every day, digging holes: five feet wide and five feet deep. it doesn't take long for stanley to realize there's more than character improvement going on at camp green lake. the boys are digging holes because the warden is looking for something. stanley tries to dig up the truth in this inventive and darkly humorous tale of crime and punishment—and redemption.",9780439244190.0,3.916376883589998,6039
jurassic park,030734813X,michael crichton,"an astonishing technique for recovering and cloning dinosaur dna has been discovered. now humankind’s most thrilling fantasies have come true. creatures extinct for eons roam jurassic park with their awesome presence and profound mystery, and all the world can visit them—for a price.until something goes wrong. . . .in jurassic park, michael crichton taps all his mesmerizing talent and scientific brilliance to create his most electrifying technothriller.",9780307348140.0,3.9154673534312985,6601
the princess bride,345418263,william goldman,"what happens when the most beautiful girl in the world marries the handsomest prince of all time and he turns out to be...well...a lot less than the man of her dreams?as a boy, william goldman claims, he loved to hear his father read the s. morgenstern classic, the princess bride. but as a grown-up he discovered that the boring parts were left out of good old dad's recitation, and only the ""good parts"" reached his ears.now goldman does dad one better. he's reconstructed the ""good parts version"" to delight wise kids and wide-eyed grownups everywhere.what's it about? fencing. fighting. true love. strong hate. harsh revenge. a few giants. lots of bad men. lots of good men. five or six beautiful women. beasties monstrous and gentle. some swell escapes and captures. death, lies, truth, miracles, and a little sex.in short, it's about everything.",9780345418260.0,4.2856440511307765,6102
the outsiders,014038572X,s.e. hinton,"librarian note: this record is for one of the three editions published with different covers and with isbn 0-140-38572-x / 978-0-14-038572-4. the records are for the 1988 cover (this record), the 1995 cover, and the 2008 cover which is also the current in-print cover.the outsiders is about two weeks in the life of a 14-year-old boy. the novel tells the story of ponyboy curtis and his struggles with right and wrong in a society in which he believes that he is an outsider. according to ponyboy, there are two kinds of people in the world: greasers and socs. a soc (short for ""social"") has money, can get away with just about anything, and has an attitude longer than a limousine. a greaser, on the other hand, always lives on the outside and needs to watch his back. ponyboy is a greaser, and he's always been proud of it, even willing to rumble against a gang of socs for the sake of his fellow greasers--until one terrible night when his friend johnny kills a soc. the murder gets under ponyboy's skin, causing his bifurcated world to crumble and teaching him that pain feels the same whether a soc or a greaser.",9780140385720.0,3.951050080775444,6190
the maze runner,385737947,james dashner,"there are alternate cover editions for this asin here and here.if you ain’t scared, you ain’t human.when thomas wakes up in the lift, the only thing he can remember is his name. he’s surrounded by strangers—boys whose memories are also gone.nice to meet ya, shank. welcome to the glade.outside the towering stone walls that surround the glade is a limitless, ever-changing maze. it’s the only way out—and no one’s ever made it through alive.everything is going to change.then a girl arrives. the first girl ever. and the message she delivers is terrifying.remember. survive. run.",9780385737940.0,3.75109692859992,5014
